Protein A,Protein B,Publications
P60953,Q07960,8
P30153,Q13362,8
Q9BYM8,Q9Y6K9,8
P68431,Q92793,8
Q08945,Q9Y5B9,8
Q12824,Q969G3,8
Q8N122,Q9BVC4,8
Q16665,Q9NWT6,8
Q9NQT4,Q9NQT5,8
Q13619,Q7L5N1,8
Q12824,Q8TAQ2,8
Q92922,Q96GM5,8
Q9UKV8,Q9UPQ9,8
P35998,P62195,8
P78560,Q9HB75,8
P06730,Q13542,8
P30153,Q14738,8
O43318,Q8N5C8,8
Q96S44,Q9Y3C4,8
Q13043,Q9NS23,8
O14965,Q9ULW0,8
O14777,Q9BZD4,8
A0JLT2,Q15648,8
Q8NDV7,Q9UKV8,8
Q9P0U4,Q9UBL3,8
P49336,Q13503,8
P48444,P53618,8
P84022,Q9HAU4,8
Q9BT78,Q9UBW8,8
P53618,Q9Y678,8
O43683,Q8NG31,8
Q15831,Q7RTN6,8
O43502,O43542,8
P27448,P63104,8
P00519,P46108,8
P36873,Q13625,8
Q14185,Q92556,8
P20248,Q13309,8
P07992,Q8IY92,8
O95405,Q15796,8
P49336,Q96RN5,8
P20226,Q15544,8
Q13769,Q96FV9,8
Q7L5N1,Q99627,8
Q9UBU8,Q9Y605,8
P17980,P62195,8
P46736,Q15018,8
P06400,Q00534,8
P51531,Q8TAQ2,8
P42224,Q92793,8
P61964,P68431,8
Q96RL1,Q9NXR7,8
Q13769,Q8NI27,8
Q15011,Q9UKV5,8
P62195,Q99460,8
Q15788,Q92793,8
P11802,P42773,8
P19174,P22681,8
Q99459,Q9UMS4,8
Q12834,Q9UJX6,8
P62993,Q05193,8
P29083,P29084,8
Q93009,Q96T88,8
Q86VN1,Q9BRG1,8
O14818,P25788,8
O75821,P55884,8
P35998,Q13200,8
P62993,Q07912,8
O00170,P35869,8
O43765,P46379,8
P49321,P68431,8
Q92905,Q9H9Q2,8
Q13042,Q8NHZ8,8
Q8TAQ2,Q92922,8
P46108,Q14185,8
P18887,P49916,8
P35998,P43686,8
Q15003,Q9BPX3,8
P38919,Q9Y5S9,8
O60716,Q86T24,8
Q8NEB9,Q9P2Y5,8
P16220,Q09472,8
P55211,Q13490,8
P36873,P41236,8
P84022,Q92793,8
Q9NPD3,Q9NQT5,8
Q13547,Q9BTC8,8
Q9UBW8,Q9UNS2,8
Q8WUM4,Q96B97,8
P24534,P26641,8
P68431,Q9Y294,8
P20936,Q07666,7
Q93074,Q9BWU1,7
P02545,P50402,7
Q9BT78,Q9UNS2,7
Q13616,Q9NRD1,7
P61088,Q9UNE7,7
O60671,O60921,7
Q96K76,Q9UKB1,7
Q13616,Q9UKT5,7
P55884,Q13347,7
P46108,Q13905,7
P23193,P24928,7
P05556,P08648,7
P36897,P37173,7
Q13163,Q99759,7
P62877,Q93034,7
P19784,P68400,7
P23246,Q15233,7
P12004,P24522,7
Q13158,Q15628,7
P61006,Q96CV9,7
O60907,O75376,7
P27361,Q02750,7
O75934,Q99459,7
P61081,Q96GG9,7
P06400,P06493,7
P25786,P28066,7
P30291,Q9UKB1,7
P06493,P33552,7
P56524,P62258,7
O15234,P38919,7
Q96B26,Q9NQT4,7
P09874,P18887,7
O00311,P49736,7
Q16531,Q92905,7
P06400,P20248,7
Q9NPD8,Q9NW38,7
P04049,P61981,7
O00487,P55036,7
O75436,Q96QK1,7
O95163,Q6IA86,7
Q8IXJ9,Q92560,7
A0JLT2,Q9NVC6,7
P06746,P18887,7
Q9BTT4,Q9H944,7
Q15021,Q9BPX3,7
P61586,Q07960,7
P20585,P43246,7
Q09028,Q13330,7
P51617,Q9Y6K9,7
Q6UWE0,Q99816,7
P06400,Q16254,7
Q13619,Q9UNS2,7
P67775,Q15172,7
O15379,P25490,7
Q03111,Q9UHB7,7
P61077,Q99728,7
Q12834,Q9UJX2,7
P20618,Q99436,7
Q8IUQ4,Q9HB71,7
O96013,P60953,7
O14497,Q92922,7
P40763,Q09472,7
P36897,Q15796,7
P07948,P22681,7
P27986,Q13480,7
O60921,Q99638,7
O60264,Q9NRL2,7
Q09472,Q14653,7
Q00987,Q9UER7,7
Q15024,Q9NPD3,7
Q99496,Q9BYE7,7
P21580,Q15025,7
Q53EZ4,Q99816,7
P61081,Q8TBC4,7
P62877,Q14145,7
P38919,Q9BZI7,7
Q13547,Q9UK53,7
Q14566,Q9BTE3,7
P33176,Q07866,7
P30305,Q9UKB1,7
P08047,Q04206,7
P49427,Q9Y297,7
P25787,P28074,7
O14818,P25789,7
Q9BTT4,Q9BUE0,7
O14920,P19438,7
P04150,Q15788,7
Q9H081,Q9H410,7
O00487,Q9UNM6,7
Q16531,Q9BW61,7
P15498,P22681,7
O15047,Q9UBL3,7
P62191,Q16401,7
P16333,Q13153,7
Q13098,Q9BT78,7
P17980,P35998,7
Q6P1J9,Q9GZS3,7
P35606,P53618,7
P49336,Q9Y2X0,7
Q9NQT4,Q9Y3B2,7
P35998,P55036,7
O00273,O76075,7
O95999,Q9Y6K9,7
P28072,Q99436,7
P11940,Q9BPZ3,7
O76071,Q9Y3D0,7
P27986,Q9UQC2,7
Q07817,Q14457,7
Q9NR09,Q9NR28,7
P14923,P35221,7
P62805,Q9Y294,7
P49755,Q15363,7
Q8NFD5,Q92922,7
Q16539,Q16644,7
O95347,Q9BPX3,7
Q13868,Q9NPD3,7
O75821,Q14152,7
P24928,P35269,7
P57740,Q9BW27,7
O14929,P68431,7
P51531,Q969G3,7
P16104,Q12888,7
P60228,Q14152,7
Q53EL6,Q9Y297,7
O00487,P48556,7
Q8N122,Q96B36,7
P30154,P63151,7
Q13618,Q96GG9,7
O00487,O43242,7
P33992,P33993,7
A0JLT2,Q9NPJ6,7
O75528,Q96ES7,7
P61088,Q96FW1,7
Q15014,Q9NV56,7
O14763,Q13158,7
Q93074,Q9BTT4,7
P06493,P16401,7
O00487,Q16186,7
Q12933,Q99683,7
Q06265,Q13868,7
P45973,Q13185,7
P25963,P55072,7
P41743,Q9BYG5,7
P62829,Q00987,7
P12931,P40763,7
P63151,P67775,7
Q9UBZ9,Q9Y253,7
P62195,P62333,7
O75446,Q16576,7
P84022,Q15796,7
P07900,Q9Y2Z0,7
P37198,Q9UBU9,7
O96017,P30307,7
Q8IU60,Q9NPI6,7
P17980,P43686,7
P28074,Q99436,7
P20226,Q00403,7
O96019,P51531,7
O14579,P53621,7
O60563,O60885,7
Q13616,Q9UKT8,7
P60510,Q6IN85,7
Q96AY2,Q96NY9,7
P62993,Q05397,7
Q92905,Q99627,7
Q00653,Q9Y297,7
O95347,Q15021,7
O95229,Q9H081,7
Q06323,Q9UL46,7
P25205,P49736,7
P11940,Q9H074,7
P55036,Q13200,7
P20339,Q15276,7
O00487,Q15008,7
P49354,P49356,7
Q15648,Q93074,7
P40692,Q9UQ84,7
Q96EP0,Q9H0F6,7
P42345,Q96B36,7
P17980,P62191,7
O75150,Q5VTR2,7
P18887,Q96T60,7
P11021,Q9UBS4,7
O95817,P11142,7
P25787,P49721,7
A0JLT2,Q9NX70,7
Q7L5N1,Q92466,7
P46777,P62913,7
P46934,P51668,7
P29353,Q92835,7
Q15633,Q9UPY3,7
Q13485,Q9UPN9,7
P25789,Q99436,7
Q8IUC6,Q9Y4K3,7
P54198,Q9Y294,7
Q99683,Q9UER7,7
P51946,P51948,7
Q15528,Q9BTT4,7
Q09472,Q13485,7
O94776,Q16576,7
P19838,Q9Y297,7
O60671,Q99638,7
P17980,P62333,7
Q8NI27,Q96FV9,7
P43487,Q14974,7
O00233,P62333,7
O14686,Q15291,7
P07900,P08238,7
Q13153,Q14155,7
P35606,P53621,7
P25963,Q9UKB1,7
Q8NEZ2,Q99816,7
P61201,Q99627,7
Q9BXW9,Q9NVI1,7
Q13309,Q9UM11,7
P05412,Q92793,7
Q15633,Q9UKV8,7
Q96AX1,Q9P253,7
Q14457,Q99570,7
P51531,Q96GM5,7
P68431,Q9UPP1,7
P60953,Q13177,7
O43913,Q9UBD5,7
O14497,P51531,7
P49815,P63104,7
Q06587,Q99496,7
P25787,Q99436,7
Q96IY1,Q9H081,7
Q13620,Q9UNS2,7
Q8NI27,Q96J01,6
P46527,Q00535,6
Q99627,Q9BT78,6
P22681,P27348,6
P33993,Q9BTE3,6
O60216,Q9NTI5,6
P25787,P28072,6
O43521,Q92843,6
O43516,P42768,6
