Protein A,Protein B,Publications
P53350,Q9H773,1
P62158,P78347,1
O95816,P41252,1
P54277,Q92995,1
P04908,P46100,1
P05455,Q86VP6,1
Q00839,Q93034,1
Q15047,Q9UBU9,1
P41250,Q6FI81,1
O60306,Q8TAD8,1
O75533,P08865,1
P30153,Q9H0H0,1
P17612,Q99996,1
P42858,Q8IUQ4,1
P42768,Q9UBT2,1
Q969H0,Q96RU2,1
Q15436,Q9UNE7,1
P25815,P35579,1
Q09161,Q9BXS5,1
P13984,Q9NT62,1
Q9BR76,Q9UHB6,1
O43432,Q13144,1
P40429,P62913,1
Q00987,Q6PCD5,1
P09651,Q92804,1
P05412,Q5VT52,1
P40692,Q9H0J9,1
Q15554,Q9UQE7,1
P22626,Q9BTC8,1
P30305,P45984,1
Q5VTL8,Q7Z7A1,1
P02545,Q16600,1
P09651,Q86VP6,1
P02768,Q9UBP0,1
P02545,Q13151,1
O75446,P51531,1
P60953,Q9HC98,1
P11142,Q96A73,1
Q5VZK9,Q96B97,1
P30414,Q16539,1
P68400,Q92688,1
P00338,Q96FW1,1
P13639,Q13616,1
O95989,Q6RFH5,1
O43303,Q7Z4H7,1
Q14204,Q96EB6,1
O60231,P49674,1
P27361,Q8N5M4,1
O43493,P51153,1
P04792,P23588,1
P62899,P63220,1
P05412,Q8IWZ6,1
Q13347,Q9Y6I4,1
Q6NYC8,Q9H8V3,1
P06454,Q96ST3,1
Q96JP5,Q99496,1
O43516,P53992,1
Q8N556,Q9ULW0,1
Q13404,Q70CQ2,1
O75376,P18615,1
P62280,P62917,1
Q1MSJ5,Q8N0Z3,1
P53350,Q09472,1
P47755,Q8IY67,1
P17931,P35613,1
O14531,Q99963,1
Q8N137,Q9Y5B9,1
Q08AE8,Q9UKB1,1
P11441,P61106,1
O43143,Q9UQ35,1
P68371,Q8TAP6,1
O00505,P36915,1
Q96JN2,Q9P0T4,1
P46060,Q8TCS8,1
O95059,Q06323,1
P18754,Q8NEY1,1
P40692,Q9BY44,1
O76070,P49411,1
Q14204,Q7Z7A1,1
O15160,Q9NS73,1
O43852,P15927,1
P12814,P49286,1
P51114,Q7L576,1
P54922,P78362,1
O75582,P10636,1
P14678,Q8ND90,1
Q13547,Q6W2J9,1
O75530,Q9BYE7,1
Q16576,Q96P20,1
Q13247,Q8TAD8,1
P27348,P55060,1
P02751,P30050,1
O75530,P08621,1
Q14684,Q99496,1
P49792,Q9UBT2,1
Q5FWF5,Q9HC52,1
P04179,Q8IWV8,1
O75781,P53611,1
Q99729,Q9C0C9,1
O95997,Q8IXZ2,1
Q6UB35,Q9P2S5,1
P49427,Q6FIF0,1
O75369,P52272,1
P05412,P36542,1
Q96A56,Q9H2X6,1
Q00987,Q3YEC7,1
Q9NZ52,Q9UBU9,1
P49321,Q05397,1
O43156,Q9NRD1,1
O60493,P62937,1
P56537,Q8IZT6,1
O43504,Q15118,1
Q86VP6,Q8IX12,1
P48556,Q15796,1
Q08945,Q13616,1
O00567,Q9UHK0,1
Q8TF05,Q9NRI5,1
O75665,Q9NXR1,1
P34932,Q6RW13,1
P07900,Q13523,1
O60508,Q9ULR0,1
Q9UJU6,Q9Y2K6,1
O75150,P19174,1
O75531,O95758,1
O15067,Q96FW1,1
P35579,Q6ZMU5,1
O43159,Q99496,1
P24522,P27695,1
P15927,P57088,1
P84098,Q12905,1
Q96LJ8,Q9BW83,1
P16144,Q13418,1
Q01105,Q7L2J0,1
O43516,Q9UNF0,1
Q8IZD4,Q9Y297,1
Q9BS16,Q9H0N5,1
Q14106,Q9UFF9,1
P55769,Q8N137,1
O14965,O14980,1
P21580,Q9UBU9,1
O95831,Q5JTV8,1
Q8WWY3,Q96JN2,1
P33176,Q12792,1
Q96D71,Q9NYZ3,1
P10644,Q9UJZ1,1
O43181,P25705,1
O15294,Q9UBU9,1
P49321,Q9UET6,1
Q12888,Q9NYU2,1
O75530,P62140,1
O95456,Q96M27,1
P05091,Q8WUM4,1
Q15717,Q5JTC6,1
P04150,Q08209,1
P62191,P62277,1
P04183,Q13509,1
O95071,P22695,1
P21675,Q8N3C7,1
P68104,P78560,1
P49354,Q12974,1
P06576,P40926,1
P22314,P61966,1
P17980,Q9NVF7,1
P61006,P62834,1
O75937,P38646,1
P02751,P61026,1
P07237,P11940,1
P33897,Q4G0F5,1
Q96CU9,Q9HCE1,1
P16220,P62136,1
P51610,Q09028,1
P15056,Q13177,1
O95816,Q9C0C7,1
O14641,Q8IUD2,1
O15042,O75400,1
Q13596,Q14247,1
P33316,Q9BW91,1
P04908,P05412,1
P05412,P42224,1
O60506,Q9NPE3,1
Q92905,Q9C0D3,1
O96006,Q86YR5,1
O15400,Q8IZC7,1
P11177,P61224,1
P23284,Q99714,1
P45973,P61254,1
O95218,Q53GS9,1
Q9NQ29,Q9UKV3,1
O14980,Q5PRF9,1
O14727,P49662,1
P54578,Q9Y4E8,1
Q15527,Q7Z4Q2,1
O14732,P26038,1
O00442,P05412,1
Q99615,Q9NRI5,1
O14980,Q9UIM3,1
P46781,P62993,1
P30153,P63167,1
O00217,P28331,1
Q9H0W5,Q9Y2X3,1
P06576,P11441,1
P26038,Q13509,1
O60826,P51805,1
Q6ZRV2,Q9NX58,1
O76003,Q9UFW8,1
P42226,Q9H8Y5,1
P32969,P35244,1
A2RRP1,Q9UEU0,1
O96013,Q9NUX5,1
Q14197,Q15056,1
P62263,Q7Z6E9,1
P10809,P13639,1
P14923,Q13620,1
P52815,P67809,1
Q6P0Q8,Q9H2C0,1
O43143,Q9NVP1,1
O75400,P17858,1
Q7Z4K8,Q8NFA0,1
O43813,P50454,1
P57081,Q9NR31,1
Q96HR3,Q9H0N5,1
Q9HCD5,Q9UBU9,1
P60510,Q13263,1
P33240,Q16891,1
P07384,P17931,1
O95429,Q8WXX5,1
Q14738,Q66LE6,1
P62899,Q9HCE1,1
Q14103,Q9NYZ3,1
P29353,Q9HCE1,1
O95613,Q9HC77,1
Q6PJI9,Q9UNN5,1
P18754,Q13432,1
Q16658,Q9Y4K3,1
P61106,Q9H0W5,1
P63092,Q99615,1
Q8WV99,Q9BRP4,1
Q13618,Q9UKV3,1
Q13523,Q9Y5B9,1
Q14019,Q9UK76,1
P51617,Q99832,1
P53350,Q96NT0,1
P35579,Q02156,1
P49589,Q96IZ0,1
P62753,P63244,1
P17987,Q9NRD1,1
P14174,P61960,1
P30041,P46060,1
Q04837,Q96TA2,1
P23528,Q13393,1
P49841,Q13163,1
P13612,Q13200,1
Q12824,Q96EP1,1
Q99459,Q9BVJ6,1
P51531,Q15233,1
Q9H0R8,Q9Y333,1
Q8WYA0,Q9C0F1,1
Q00839,Q9UKM9,1
P04792,Q8IW41,1
O00231,Q9UQL6,1
O14578,O14964,1
O75694,O95359,1
Q15834,Q9UPT5,1
Q56P03,Q9BUQ8,1
O95865,Q08AM6,1
P34897,Q9Y2S7,1
P08238,P42679,1
O00560,Q8N9N8,1
P42345,P46379,1
P22626,Q9UBU9,1
P22087,Q9BXJ9,1
O00299,O15116,1
Q15637,Q9H0W5,1
P05412,P50454,1
P26368,Q9UJV9,1
P04075,P49257,1
Q92562,Q9Y2I7,1
P23588,P57740,1
P46019,Q96T76,1
Q9BV86,Q9Y295,1
Q7L0Y3,Q9H078,1
O75420,Q9BV73,1
P06733,P09104,1
Q8IUQ4,Q8WUK0,1
P11021,P23284,1
Q13895,Q8ND90,1
Q00765,Q969E2,1
O95613,Q5TB80,1
Q06609,Q6P1J9,1
Q14839,Q9P2Y4,1
Q04941,Q9Y478,1
Q15293,Q69YQ0,1
P43686,P78395,1
P49736,P62318,1
O43318,Q9H2X6,1
Q5VYS8,Q6DD88,1
P57081,Q8TAT6,1
O43172,Q01081,1
Q92747,Q99961,1
O14980,O95391,1
P00367,Q14197,1
Q5T653,Q9BZE4,1
O95714,Q12774,1
A7E2Y1,P51114,1
O14513,Q9P2P5,1
O95997,Q9UJX6,1
O95182,O95292,1
P05198,P51858,1
Q13485,Q13555,1
P33316,P62820,1
P23368,Q9Y4E8,1
O94927,Q9C0F1,1
P20340,P24386,1
P15336,Q9Y6N5,1
Q16594,Q9Y2X3,1
P58012,Q96CB9,1
O43390,P13612,1
P61221,Q9P032,1
P06576,Q96CS3,1
P82664,Q6P1L8,1
P30419,Q13045,1
O95758,Q96FJ2,1
P29590,Q9H8V3,1
O94829,Q9UMS6,1
P60709,P61160,1
O14893,P54105,1
P53992,Q7L2Z9,1
P40763,P55268,1
O14818,Q92530,1
P60228,P63244,1
O43504,Q86TG7,1
P24522,P61968,1
Q9UKG1,Q9UQL6,1
P62081,P63104,1
Q53G59,Q9NRR4,1
Q15645,Q86YR5,1
P09960,P26885,1
P40763,Q15642,1
Q6ZRV2,Q9H0W5,1
Q92905,Q9UHI6,1
P40763,Q6IA86,1
P55072,Q05519,1
Q92997,Q9UGY1,1
Q14527,Q9H040,1
P00338,Q13618,1
Q08379,Q9BYG5,1
P19525,Q9H875,1
O00571,Q14498,1
P23246,Q01081,1
P38919,P40429,1
Q14166,Q96P16,1
Q15233,Q9UBS0,1
Q96I99,Q9UKB3,1
P49756,Q9UMS4,1
Q8WUQ7,Q9H5V9,1
P42858,Q7Z460,1
P23276,Q71U36,1
P07686,Q8N806,1
O15164,O75533,1
Q5TA45,Q96HW7,1
Q04837,Q9BQ15,1
P62993,Q96RL7,1
P52788,Q5JSZ5,1
Q14103,Q7Z4Q2,1
Q16719,Q92925,1
P01112,Q02750,1
O95376,Q96P48,1
P46108,P54753,1
O75147,P62136,1
P53602,Q01581,1
O14936,Q96RT1,1
P38646,Q9NRD1,1
O00233,P61024,1
O43592,P25788,1
P69892,P69905,1
Q06330,Q9HD40,1
P49448,Q9UPV0,1
P48643,P63151,1
Q02040,Q99598,1
O60504,Q8TDM6,1
O43707,Q9NZJ4,1
Q15007,Q9UJV9,1
O00469,Q9Y4E8,1
Q15717,Q6ZNW5,1
Q09472,Q16891,1
O75955,Q13636,1
P49321,Q9NVP2,1
Q96EV8,Q9Y4B6,1
O95661,P52306,1
O14579,Q9H8V3,1
Q6P2Q9,Q9BQG0,1
P42677,Q02878,1
O95619,Q8N3F8,1
P53803,Q9HCE1,1
P30044,Q96FW1,1
O15160,Q14191,1
O14879,P01023,1
P49711,Q9BWU1,1
Q9HCE1,Q9Y266,1
Q15910,Q9Y2I6,1
P08238,P39023,1
Q14697,Q9NVM4,1
P43034,Q05048,1
P23258,P62280,1
P62258,Q96CN7,1
O14965,Q96L93,1
O14562,P17980,1
P07437,Q9Y6K9,1
P15529,P17301,1
P62269,P62891,1
P42285,Q08AG7,1
P00505,P11142,1
O43252,Q13509,1
P06748,P14618,1
Q15427,Q86VP6,1
P07910,P49792,1
P02751,P15927,1
P58012,Q29RF7,1
Q8NI27,Q92843,1
P53779,Q99541,1
Q92576,Q9P2P5,1
Q13277,Q15334,1
O75177,Q9NY61,1
Q9GZL7,Q9UKB1,1
P11142,P20333,1
Q14978,Q6NZI2,1
Q5VT25,Q7L2Z9,1
P06737,Q01813,1
O43303,O95714,1
O60826,Q969U7,1
Q15691,Q99426,1
Q13573,Q14974,1
P47985,Q9UHD8,1
Q9H0S4,Q9UL18,1
Q9H0D6,Q9NZC7,1
P05412,P14618,1
P25205,Q9UBS0,1
O75145,Q13136,1
O14980,O95235,1
Q14241,Q9H7Z6,1
P62314,Q15029,1
P50552,P61088,1
P35268,Q8N6T3,1
Q8ND90,Q8TEW0,1
P61764,Q13501,1
P49207,Q9NY93,1
P15927,Q99638,1
Q68E01,Q6P9B9,1
P23526,P31939,1
P54725,Q01130,1
O15160,O60264,1
P17676,P40763,1
Q01167,Q8NB46,1
P45974,Q9C035,1
P13639,Q00987,1
P62993,Q9NXR7,1
Q02880,Q9UPV0,1
P12270,P25054,1
P06493,Q9Y3Z3,1
P14678,Q9UHI6,1
O95425,Q9Y383,1
Q14004,Q96PK6,1
P50402,Q9UBU9,1
O43639,Q07666,1
Q13573,Q8NE71,1
P55345,Q8N684,1
P05386,P78318,1
P31040,P55809,1
P68400,Q03111,1
P63313,P78362,1
P40763,P63000,1
P46777,Q9NY93,1
P11021,Q9Y618,1
O60216,P62753,1
Q9UKB1,Q9Y4L5,1
P11172,Q8TDQ7,1
P46060,Q15029,1
P28070,Q9UMS4,1
Q15365,Q9NQ88,1
P39880,Q12888,1
Q96EY7,Q9BYG3,1
P50991,Q9C0C7,1
O14593,Q9UQL6,1
Q53EL6,Q92890,1
P15153,Q13616,1
P13284,Q6P1M3,1
P31483,Q96EP5,1
P42224,P42574,1
P62888,Q05639,1
P25391,Q99615,1
Q13243,Q13616,1
Q96GM5,Q9BZK7,1
Q13618,Q9NUL7,1
Q96NL6,Q9UGI8,1
P51665,Q969U7,1
P07910,Q13573,1
Q14247,Q9Y297,1
P68366,Q8IXJ6,1
P43246,Q15645,1
Q13547,Q15047,1
P02545,P11388,1
P06748,P31689,1
P33992,Q08211,1
Q6YP21,Q9H0R8,1
O43639,Q9Y2W2,1
Q8N137,Q8TDD1,1
P36551,Q96RR1,1
O15145,O43852,1
O15047,Q09472,1
P62304,Q15691,1
O75380,Q9UBU9,1
Q8NG68,Q9Y3Q8,1
P11441,P62701,1
O15042,Q9UJV9,1
P05937,Q9Y6K9,1
O95758,P60763,1
P11021,P35579,1
P55072,Q06136,1
O43900,P11441,1
Q13618,Q9BQ67,1
P62888,Q00005,1
P62316,Q15691,1
O75170,Q70CQ1,1
Q66K64,Q9H9A7,1
Q15038,Q9P0T4,1
Q07666,Q9NZM3,1
P10586,P49903,1
O60885,Q14839,1
P62244,Q10471,1
P09012,Q9UMS4,1
P61960,Q969G6,1
A0MZ66,O95486,1
P30837,Q6DD88,1
P68371,Q9UGJ1,1
P01112,Q15599,1
P62942,Q13526,1
Q15554,Q9HCC0,1
P24928,Q15648,1
Q13614,Q15717,1
P04899,Q9UJ70,1
P23246,P51991,1
P68400,Q14781,1
Q99459,Q99496,1
Q9P2F8,Q9UKB1,1
O75381,Q8NCM8,1
P62993,Q13023,1
Q92997,Q9HC77,1
Q13616,Q969M7,1
P07900,P51812,1
P13473,Q9UMS4,1
Q8IXZ2,Q96EY7,1
Q08209,Q96E09,1
P27708,Q96EY1,1
P52732,Q8IYT8,1
O75530,Q12769,1
P08238,Q9H2K8,1
O43929,P33993,1
Q12933,Q8TDY2,1
Q13111,Q9ULM6,1
O14879,Q14103,1
P23246,P24752,1
P61201,Q9NPJ6,1
Q09666,Q13148,1
Q96BF6,Q9BTC8,1
O15144,O75674,1
O14980,Q96JC9,1
Q08379,Q6IPU0,1
Q13643,Q96ME1,1
Q08881,Q9P2D0,1
O95801,Q9NUQ3,1
P63104,Q15154,1
Q05086,Q12959,1
P42226,Q460N5,1
Q02750,Q9UHK0,1
P35579,Q99459,1
P37802,P50238,1
P49736,P63167,1
Q99961,Q9Y371,1
O43175,Q9H2P0,1
Q96S38,Q9NYA1,1
Q6PKC3,Q9UBU9,1
P61244,Q66K14,1
Q8NI36,Q9NVP1,1
P26368,P45880,1
P16333,Q15027,1
P27348,Q5VV41,1
P04899,P35579,1
P17706,P62191,1
P52732,Q4LE39,1
P16104,P20290,1
P62195,Q5T4S7,1
Q7Z5L2,Q9HCE1,1
P30566,Q9H223,1
O75674,P06396,1
Q14CS0,Q9NZL4,1
Q5SW79,Q9H0W5,1
O60888,Q96BK5,1
P14625,Q9H814,1
P55072,Q9UFF9,1
P54727,Q9UNE7,1
Q15154,Q9Y305,1
P15923,Q9UBS8,1
O43242,Q9H040,1
Q15436,Q6YHU6,1
P46109,Q96JJ3,1
P61221,Q13185,1
Q16254,Q99856,1
Q9BQA1,Q9UKV8,1
O43399,Q9GZT8,1
Q9NQW6,Q9NYZ3,1
O43172,P48643,1
Q99832,Q9BRX9,1
O15156,P32969,1
P02751,P06576,1
Q15022,Q9HCS7,1
Q14152,Q9H074,1
P17858,P27348,1
Q13618,Q9H078,1
Q15834,Q9UFG5,1
P45973,Q6P1K2,1
O14980,Q7LBC6,1
P35580,Q9BSJ8,1
O75638,Q15654,1
O94763,O95714,1
P31942,Q9UJV9,1
O95433,P68104,1
Q96E35,Q9H871,1
P98175,Q7Z6Z7,1
O94906,Q13523,1
Q8NCA5,Q9Y383,1
P63244,Q92636,1
O14980,Q13322,1
P09382,P50995,1
Q5SW79,Q8WXF1,1
O75143,P58004,1
O43396,Q9UNM6,1
O95817,P49321,1
O14818,Q9C0C7,1
P26599,Q15717,1
P08047,P22059,1
Q14289,Q9Y2X7,1
O60664,P54105,1
P46782,Q969S9,1
Q8N3J3,Q9UPN9,1
P46976,Q15124,1
P62304,Q9Y4Z0,1
P20290,Q96BK5,1
P40692,P48454,1
P12236,Q86VP6,1
P42768,P50552,1
O94905,P55060,1
Q8NFZ5,Q93009,1
Q13233,Q9H8M7,1
O00232,O00233,1
P08238,P52630,1
Q15831,Q8N1F8,1
P13797,Q9UET6,1
Q13148,Q9H2U1,1
P07900,Q15208,1
P45974,Q06830,1
O15144,P42768,1
P84022,Q9Y3Q8,1
Q99575,Q9BYG3,1
Q09019,Q8TAF3,1
O95983,Q9BYV2,1
Q15154,Q9Y297,1
P34896,Q06203,1
Q07960,Q13043,1
P22087,Q6ZN17,1
O75146,P49411,1
P05412,Q712K3,1
P41250,P56192,1
O43678,P06576,1
O43707,Q9NQW6,1
O60493,Q9H1Y0,1
P15927,Q8NI27,1
O94913,Q9P2I0,1
P52272,Q9Y2Q3,1
O95817,Q13435,1
O75369,P27986,1
Q01196,Q9UBK9,1
P40227,Q96JK2,1
O75964,P04843,1
P08648,Q9UBV2,1
P53618,Q15334,1
O95758,Q13155,1
O94888,Q70CQ2,1
Q01085,Q15365,1
Q13426,Q9NPJ6,1
P06400,P55345,1
P14316,P85037,1
O43464,Q13263,1
P07195,Q00796,1
O43353,P62158,1
P40227,Q96M98,1
O14980,P85037,1
P14373,P51965,1
P52292,Q86VP6,1
Q15047,Q9BX70,1
P33316,P68104,1
P61353,P61513,1
P06396,P42025,1
O00308,P51668,1
O00257,P27348,1
P84103,Q9NZC7,1
Q13509,Q9Y4B5,1
Q86VP6,Q9Y2Q9,1
P17252,P23458,1
O60506,Q7L5N1,1
O43255,P40763,1
P46939,Q93009,1
O75152,Q6I9Y2,1
P02786,Q99496,1
P52948,Q9Y6D5,1
P62136,Q16629,1
O75150,Q68DK7,1
P45877,Q7Z7H5,1
O00231,P68104,1
P19388,Q16821,1
P19793,P56524,1
P35240,P39023,1
Q92905,Q9NSI6,1
Q8WUI4,Q9BZL6,1
O75147,P26196,1
O00159,P50402,1
Q13309,Q15369,1
P68371,Q96FW1,1
Q00987,Q12840,1
Q9NVX0,Q9P209,1
Q9BXL5,Q9Y2K1,1
Q8NFQ8,Q9BW61,1
O75643,O76071,1
P29692,Q04206,1
P02751,P14618,1
Q14738,Q9Y371,1
Q14197,Q96CW1,1
P06748,Q16630,1
P18146,Q92793,1
A6NHR9,Q99459,1
O95429,Q9UNE7,1
Q04206,Q13625,1
P67809,Q71RC2,1
O14503,P40763,1
O60784,Q15075,1
Q5VYK3,Q7Z7E8,1
O94941,P62256,1
O14980,Q3V6T2,1
O43865,Q6YHU6,1
O00567,Q9UHB9,1
O15294,Q9P0J7,1
P50613,Q9Y5B0,1
P62854,Q9HCK5,1
P20340,P61019,1
O43395,Q9Y5B9,1
O00505,Q7L2J0,1
O43399,P55072,1
Q13620,Q99729,1
P19388,Q9NX70,1
P13073,Q9P0L0,1
O75400,Q99598,1
O00487,Q14554,1
P30040,Q7Z6Z7,1
P06733,P36871,1
O94905,Q3ZCQ8,1
P56377,Q6ULP2,1
P34897,Q6GMV3,1
Q14247,Q14511,1
Q00839,Q86TS9,1
Q08945,Q9UKV3,1
O14965,Q96KG9,1
O43491,Q14980,1
O00487,P04114,1
Q9HB21,Q9P0V3,1
Q8IY57,Q9BYE7,1
P61964,Q99728,1
P26640,Q96C19,1
Q9BV73,Q9Y2I6,1
P60953,Q04721,1
Q00653,Q02878,1
Q13618,Q9Y450,1
O15145,P00558,1
Q02241,Q9NR09,1
P14635,Q9H211,1
Q00839,Q9Y6Y0,1
P49286,Q9NRR5,1
P09012,Q15393,1
P49411,P62899,1
Q13616,Q6PJ61,1
O75530,Q14676,1
P08238,Q9UBU9,1
Q9BSB4,Q9GZZ9,1
Q96QC0,Q96T76,1
P60842,Q12905,1
O95817,Q9Y6R4,1
P16104,P45973,1
Q13263,Q9BQF6,1
Q6ZTN6,Q9NRR5,1
O95817,Q9NZI8,1
P20290,Q6NW29,1
P35244,Q15233,1
P07919,P68104,1
O14974,Q8WTS6,1
O14744,P29353,1
O43143,P27694,1
Q70Z53,Q96NB3,1
O75164,P33991,1
Q2M2I8,Q9NQW6,1
Q9GZZ9,Q9NRX2,1
Q5JSH3,Q9UK45,1
P46934,Q13237,1
P09012,Q13617,1
O75081,Q9P1Z0,1
P25686,Q9Y597,1
P30876,Q86VP6,1
Q15208,Q9Y2U5,1
P35606,Q13618,1
P62277,Q53EL6,1
P13804,Q9BSB4,1
Q9UQE7,Q9Y2H6,1
Q96ES7,Q9Y2I8,1
P40818,Q8WUX9,1
Q13547,Q9Y5X1,1
O60264,P17676,1
O14980,Q6NW29,1
O43781,Q96EB6,1
Q53H47,Q99638,1
P46781,P61313,1
Q3LXA3,Q9HCE1,1
Q92665,Q9HAU4,1
Q96J02,Q9Y4K3,1
P20338,P41743,1
P09651,Q06830,1
P36578,Q9UNX3,1
P62136,Q99622,1
O60264,Q08050,1
P49454,Q8WUM0,1
Q969G6,Q9UBQ7,1
P62166,Q7LBC6,1
P07437,Q96QD9,1
Q13573,Q7Z333,1
P46527,P52292,1
P61758,Q96S82,1
O43865,P09012,1
P60520,Q5XPI4,1
P13612,Q15366,1
P22626,P49770,1
P15927,P51149,1
Q92934,Q96HR8,1
Q00987,Q9H832,1
P49915,Q13057,1
O00267,P19338,1
Q16513,Q6ZU80,1
O94906,Q9Y5B9,1
O75170,Q9HB71,1
P00519,P42167,1
P02751,Q14315,1
Q15393,Q9UBN6,1
Q5TC82,Q92499,1
P62875,Q13625,1
O95758,P13010,1
P27348,P50552,1
P05412,P62136,1
Q6PCD5,Q9NR56,1
Q6NSZ9,Q8NBB4,1
P50454,Q96B97,1
O14818,Q9Y2T2,1
O14818,Q9Y3D3,1
P55769,Q5VYK3,1
O95758,Q9UI14,1
P31947,Q99613,1
P30305,Q99459,1
Q96RE7,Q9HC62,1
P27694,P61019,1
P63146,Q13432,1
P18850,P40261,1
O75182,Q9UKT9,1
P22694,Q9UKA4,1
P14735,Q96AT9,1
P04792,Q9BY32,1
Q8IUQ4,Q99683,1
O60477,Q8TEK3,1
Q86X55,Q86Y13,1
P34932,Q8IWE2,1
P82933,Q13501,1
O14965,Q9NZN8,1
Q13813,Q9UMX5,1
P31946,P52907,1
P61247,Q9NVP2,1
Q6NXE6,Q99471,1
P05230,Q14687,1
P49720,Q14997,1
Q8TBB1,Q9BTE7,1
P05161,P06576,1
Q13610,Q92905,1
P46531,Q14974,1
Q8TAT6,Q9P2P5,1
P45974,Q9Y478,1
Q08380,Q9H0W5,1
O75381,P17987,1
Q01167,Q9Y520,1
O14980,Q8N3J3,1
Q7Z417,Q99816,1
P22415,Q5T4S7,1
Q05048,Q9UKF6,1
O75695,Q68E01,1
O14964,Q9HCE1,1
P04792,Q9Y3C0,1
Q99496,Q9H0J9,1
O75791,P43405,1
P63104,Q96AC1,1
P06400,Q13574,1
Q12904,Q92905,1
Q00839,Q15029,1
O43390,Q13617,1
P07237,Q99496,1
O75376,Q9NRL2,1
Q2NL82,Q8N5N7,1
O75381,P12268,1
P47897,Q99683,1
Q8NDX1,Q93008,1
P14635,P62136,1
O14980,Q9NVX0,1
Q9H1H9,Q9H4L7,1
Q7KZI7,Q7Z460,1
Q16659,Q9NUQ9,1
A0JLT2,P62314,1
P30085,Q9Y478,1
O60308,Q8TAP6,1
Q7Z3C6,Q96CS3,1
Q14697,Q9Y3Z3,1
Q9NV56,Q9Y4A5,1
P51858,Q00839,1
P36915,P46777,1
P14174,Q9Y4K3,1
Q13643,Q8TBB1,1
Q96JM3,Q9NRY2,1
Q6UN15,Q9UJV9,1
Q6EMK4,Q9UNF0,1
P23434,P25786,1
P53618,Q99496,1
Q99698,Q9HC77,1
O00458,Q9BZE4,1
O00567,O75530,1
O75717,Q9UKX7,1
P07910,Q99496,1
Q7Z2W9,Q9NP92,1
P83731,Q9NX58,1
P54105,Q15084,1
Q52LJ0,Q99757,1
P19838,Q58FF8,1
Q92599,Q9H3Q1,1
O00629,P49711,1
P02751,Q04828,1
P31947,Q9Y3Y2,1
P05362,P32969,1
P35613,Q13356,1
P10644,Q13627,1
O14497,Q86X55,1
Q12905,Q9HC52,1
P47985,Q9H9B4,1
O95777,P37837,1
P62906,Q9UKD2,1
O75717,Q8NHP8,1
O14646,P42167,1
P28340,Q99459,1
O00401,O15116,1
Q05639,Q15628,1
Q13190,Q5UIP0,1
P05412,P23284,1
P09972,P12532,1
P62993,Q96SB3,1
P55769,Q9UKY7,1
Q5VUD6,Q86VP6,1
Q96CW5,Q9Y399,1
O00541,Q13601,1
P00403,P19484,1
Q08J23,Q53GS9,1
Q504Q3,Q9UHV9,1
P29597,Q9Y4H2,1
O00255,Q13547,1
Q00610,Q9NYY8,1
Q6UX04,Q96KG9,1
P38919,Q16629,1
O00442,Q99459,1
P48167,Q9NQX3,1
Q15560,Q9BYV2,1
Q13573,Q9UQ35,1
P19338,P31949,1
Q15154,Q9H0W5,1
O75340,P46109,1
Q13200,Q96CS3,1
P14678,P61326,1
Q8N5S1,Q9NUP9,1
P55196,P63104,1
P62081,Q9NVP1,1
P51116,P61289,1
P22090,Q99496,1
P62241,P62987,1
P62993,Q9NRW1,1
P05412,P68104,1
P20333,P62263,1
O95347,P47755,1
O75475,Q9NPD3,1
Q15717,Q99583,1
Q7Z7A1,Q92900,1
Q12792,Q12904,1
P17301,P17931,1
O15212,Q9NVU0,1
P09104,P37802,1
P25788,P54725,1
Q99547,Q9Y448,1
P62258,Q13470,1
O95433,P05412,1
Q92665,Q9Y291,1
P06748,Q9UQL6,1
O14530,Q9NPJ6,1
Q8IUH3,Q9Y4W6,1
P62820,Q15717,1
Q9BZE9,Q9Y315,1
O95402,Q15544,1
Q15427,Q9BYJ9,1
P32121,Q9Y2J2,1
P25490,P28799,1
Q99459,Q9H4M9,1
Q12905,Q9Y265,1
Q96GQ7,Q96I34,1
P68363,Q9UIM3,1
Q14258,Q92734,1
P68431,Q96ME7,1
Q15014,Q96A08,1
P09972,P36969,1
P61353,Q13310,1
Q04917,Q09019,1
P06748,P55345,1
P15121,Q15797,1
O95661,P22455,1
O75935,Q9NPJ6,1
P84103,Q15910,1
P14625,Q9H0W5,1
O60496,Q9NUX5,1
Q9BRX9,Q9Y3C6,1
P07355,P35244,1
Q13535,Q92547,1
P52597,Q9BV73,1
P28799,Q9H668,1
Q96S44,Q9BTE6,1
P31150,Q96I24,1
Q8N684,Q99459,1
O15371,P25398,1
P48426,P68400,1
O75368,P28066,1
P27635,Q9NWT1,1
P04083,P49736,1
P04181,P30837,1
O00221,P61289,1
P42226,Q86V21,1
P12268,P40337,1
P49736,Q96AG4,1
P21291,P42765,1
P49207,P62266,1
P16070,Q6P1J9,1
P24928,Q9H0W5,1
O75396,P15927,1
O75400,P55769,1
Q96P70,Q9NW08,1
P52732,Q9BZE4,1
Q15008,Q9BSL1,1
Q9NYF0,Q9UJU2,1
P05386,P60520,1
P09234,Q93034,1
O15355,Q9NYB0,1
P38159,Q99496,1
O14980,Q8IZD4,1
A5D8V6,O75340,1
P61201,Q16401,1
Q16854,Q9H115,1
P05412,Q8WWY3,1
P17098,P34897,1
O95758,Q99459,1
O15541,Q8IX12,1
P11216,P33992,1
P14373,Q12774,1
