Accession,T37.0,T41.0,T44.0,T47.0,T50.0,T53.0,T56.0,T59.0,T63.0,T67.0,RSD
PAK1IP1,0.9999,0.9261,1.0821,1.3797,1.6453,1.0778,0.9521,0.4299,0.0704,0.0164,0.0
PAK2,0.9999,1.0281,1.0055,0.9872,0.9253,0.7817,0.4572,0.1613,0.0567,0.0241,0.0
PAK4,0.9999,0.9629,0.9134,0.8743,0.6563,0.269,0.1289,0.0984,0.0539,0.0393,0.0
PAN2,0.9999,0.8482,0.7964,0.3641,0.184,0.1119,0.0811,0.0649,0.0537,0.0171,0.0
PANK2,0.9999,0.8515,0.8866,0.9617,0.923,0.5959,0.4906,0.2086,0.0783,0.048,0.0
PANK4,0.9999,0.9545,0.9632,0.8778,0.682,0.2375,0.1176,0.0882,0.0614,0.0305,0.0
PAPOLA,0.9999,0.9984,1.0593,1.0542,0.8318,0.292,0.0472,0.0296,0.0219,0.0142,0.0
PAPSS1,0.9999,1.046,0.9859,0.996,0.9237,0.7331,0.2449,0.085,0.0492,0.037,0.0
PARD6B,0.9999,0.8708,0.8003,0.639,0.3366,0.1611,0.0872,0.0951,0.0356,0.0186,0.0
PARG,0.9999,0.9373,0.9318,0.7646,0.2661,0.1483,0.1156,0.0869,0.0734,0.0459,0.0
PARK7,0.9999,1.0072,1.0284,1.133,1.0489,0.8179,0.689,0.3794,0.1465,0.0508,0.0
PARN,0.9999,1.2049,1.5919,1.7756,0.7086,0.185,0.0751,0.0549,0.0368,0.0227,0.0
PARP1,0.9999,1.0479,1.0457,0.5468,0.1085,0.081,0.0481,0.0441,0.0333,0.0224,0.0
PARP12,0.9999,0.9756,0.7158,0.2494,0.0889,0.0572,0.0344,0.0273,0.0168,0.0314,0.0
PARS2,0.9999,1.1387,1.1805,1.2654,1.3456,1.1259,0.8523,0.6531,0.2674,0.03,0.0
PARVB,0.9999,0.9201,0.8718,0.7024,0.3526,0.084,0.0258,0.015,0.0095,0.0029,0.0
PASK,0.9999,0.9775,0.9644,0.8515,0.6649,0.3878,0.1276,0.1012,0.0605,0.0206,0.0
PATL1,0.9999,0.8014,0.5307,0.2467,0.1146,0.0671,0.0471,0.0382,0.0311,0.0195,0.0
PBDC1,0.9999,0.9617,0.8877,0.7926,0.5244,0.2028,0.0725,0.0397,0.0306,0.0207,0.0
PBK,0.9999,0.9825,0.8376,0.4183,0.15,0.1045,0.0611,0.0506,0.0341,0.0164,0.0
PBX2,0.9999,0.9323,0.8991,0.6243,0.285,0.1309,0.0751,0.0838,0.0431,0.0236,0.0
PC,0.9999,1.12,1.1772,1.0382,0.5213,0.142,0.0968,0.0789,0.0558,0.0355,0.0
PCBD1,0.9999,1.1034,0.9925,0.9736,1.0683,0.8751,0.7444,0.7172,0.554,0.5412,0.0
PCBP1,0.9999,1.1073,0.9946,0.6839,0.3309,0.1246,0.0541,0.036,0.0266,0.0157,0.0
PCBP2,0.9999,0.922,0.8418,0.5301,0.1975,0.0826,0.0547,0.0465,0.0322,0.0132,0.0
PCCA,0.9999,0.9697,1.0691,1.077,1.2918,0.6857,0.0829,0.0607,0.0412,0.0248,0.0
PCCB,0.9999,0.9826,1.0099,0.9619,1.2212,1.1778,0.6308,0.2498,0.1141,0.0518,0.0
PCF11,0.9999,0.8127,0.4173,0.1561,0.1305,0.0867,0.059,0.0586,0.0354,0.0242,0.0
PCID2,0.9999,0.841,0.7836,0.5037,0.151,0.0823,0.0606,0.0393,0.0255,0.0089,0.0
PCIF1,0.9999,0.9257,0.8292,0.5773,0.2001,0.0925,0.073,0.0481,0.0068,0.0252,0.0
PCK2,0.9999,1.0558,1.0651,0.9884,0.889,0.5602,0.1597,0.1092,0.0659,0.0365,0.0
PCM1,0.9999,0.8531,0.812,0.6419,0.6498,0.339,0.1876,0.1495,0.1013,0.0837,0.0
PCMT1,0.9999,0.9623,0.9723,1.0788,1.0427,0.6529,0.1286,0.0788,0.0342,0.0218,0.0
PCNA,0.9999,1.0099,0.9488,1.0971,1.0284,0.8452,0.5724,0.3355,0.0697,0.0167,0.0
PCNP,0.9999,1.0746,0.9864,0.8508,0.7757,0.8113,0.5743,0.4798,0.5048,0.3548,0.0
PCNT,0.9999,0.8822,0.5871,0.3368,0.2436,0.137,0.0947,0.1039,0.0406,0.0283,0.0
PCTP,0.9999,1.0363,1.0027,0.9415,0.6177,0.3695,0.1075,0.0469,0.0185,0.0098,0.0
PCYT1A,0.9999,0.9804,0.9716,0.9058,0.6889,0.369,0.0875,0.0502,0.0439,0.0215,0.0
PCYT2,0.9999,1.0598,1.0792,1.0486,0.9203,0.8538,0.4716,0.207,0.0589,0.0298,0.0
PDAP1,0.9999,1.0169,1.0215,0.8676,1.0986,0.9412,1.7769,2.2726,1.666,2.3695,0.0
PDCD10,0.9999,0.9634,0.9228,0.7615,0.4176,0.2009,0.08,0.0534,0.0233,0.0102,0.0
PDCD2,0.9999,0.8818,0.5368,0.1441,0.1277,0.0799,0.0619,0.0552,0.0451,0.0219,0.0
PDCD2L,0.9999,0.9749,0.9657,0.7432,0.3598,0.1018,0.0426,0.0434,0.0335,0.0181,0.0
PDCD4,0.9999,0.9142,0.8018,0.6884,0.4806,0.131,0.0866,0.0585,0.0336,0.0199,0.0
PDCD5,0.9999,0.9293,0.9442,0.9347,1.1801,0.8044,0.7526,0.4985,0.5124,0.7595,0.0
PDCD6,0.9999,0.7594,0.8495,0.8728,0.5836,0.257,0.0435,0.0223,0.0289,0.0615,0.0
PDCD6IP,0.9999,1.0571,1.0475,0.7215,0.0597,0.0535,0.0369,0.0318,0.0222,0.014,0.0
PDCL3,0.9999,0.8903,0.952,0.968,1.2837,0.6763,0.7761,0.1358,0.0347,0.0176,0.0
PDDC1,0.9999,1.0479,0.9257,0.8736,0.7009,0.7025,0.4255,0.2747,0.1822,0.0676,0.0
PDE12,0.9999,0.918,0.9691,0.9327,0.8047,0.5096,0.1348,0.1014,0.0468,0.021,0.0
PDE6H|MYL6,0.9999,0.9844,0.8681,0.7956,0.6283,0.2357,0.0864,0.0616,0.0447,0.0318,0.0
PDF,0.9999,1.0271,1.1403,1.0287,1.2889,1.1581,0.9167,0.7077,0.2102,0.0763,0.0
PDHA1,0.9999,0.8969,0.9477,1.1063,1.8404,0.5082,0.3406,0.0728,0.0534,0.0168,0.0
PDHB,0.9999,0.9496,1.0728,1.1858,1.7071,0.4673,0.2905,0.0581,0.0261,0.0207,0.0
PDHX,0.9999,1.1929,1.2656,1.6859,2.2752,1.4317,1.7063,0.8272,0.125,0.0509,0.0
PDIA3,0.9999,1.0331,0.9714,0.612,0.1585,0.0863,0.0686,0.0538,0.0487,0.0339,0.0
PDIA4,0.9999,1.0001,0.9177,0.7928,0.3444,0.1567,0.1254,0.0875,0.064,0.0516,0.0
PDIA5,0.9999,0.9789,0.9506,0.8472,0.5378,0.186,0.1165,0.0816,0.0608,0.0395,0.0
PDIA6,0.9999,0.9539,0.9176,0.9206,0.9216,0.8363,0.4772,0.0964,0.0612,0.0409,0.0
PDK1,0.9999,1.0218,1.1076,1.0252,0.6461,0.197,0.0673,0.0388,0.0355,0.0131,0.0
PDLIM1,0.9999,1.0264,1.0262,0.9315,0.8509,0.732,0.3987,0.2805,0.4021,0.2665,0.0
PDLIM4,0.9999,1.0366,1.0249,0.9816,0.7571,0.5258,0.3048,0.1957,0.1055,0.1334,0.0
PDLIM5,0.9999,1.0073,1.0038,0.91,0.7431,0.4234,0.1245,0.0626,0.0457,0.0288,0.0
PDLIM7,0.9999,0.9302,0.82,0.5839,0.2685,0.131,0.0666,0.0506,0.0371,0.0167,0.0
PDPK1,0.9999,0.9775,0.9609,0.8443,0.3309,0.0997,0.0473,0.0342,0.0201,0.0093,0.0
PDPR,0.9999,1.0849,1.1946,1.2266,1.4033,1.0922,0.3057,0.1077,0.074,0.0453,0.0
PDS5A,0.9999,0.9186,0.6302,0.2245,0.1534,0.1131,0.0825,0.0589,0.0321,0.0205,0.0
PDS5B,0.9999,0.9652,0.7855,0.3562,0.1311,0.0775,0.0567,0.0528,0.0361,0.0214,0.0
PDSS2,0.9999,1.0732,1.2696,1.3081,1.3698,0.8714,0.4705,0.2459,0.0575,0.0189,0.0
PDXDC1,0.9999,0.9231,0.6126,0.1229,0.094,0.0593,0.0526,0.0503,0.0184,0.0084,0.0
PDXK,0.9999,0.9711,0.9277,0.9337,0.8501,0.7121,0.6136,0.5703,0.3665,0.0516,0.0
PDXP,0.9999,0.9866,1.0498,1.045,0.9441,0.8076,0.6935,0.6438,0.5264,0.3863,0.0
PDZD11,0.9999,1.1182,0.8643,0.7048,0.6345,0.4115,0.319,0.3143,0.1609,0.0151,0.0
PEBP1,0.9999,0.9635,1.0018,1.0563,1.0231,0.8521,0.7061,0.5448,0.2172,0.0717,0.0
PEF1,0.9999,0.7154,0.7921,1.0773,0.7652,0.4319,0.0824,0.1027,0.0794,0.0641,0.0
PELO,0.9999,0.9312,0.4844,0.1384,0.0682,0.0464,0.0447,0.0363,0.0187,0.0084,0.0
PELP1,0.9999,0.9571,0.8282,0.9292,0.9021,1.0001,0.289,0.3161,0.0944,0.0229,0.0
PEPD,0.9999,1.025,0.9066,0.9518,0.8145,0.6677,0.516,0.3324,0.124,0.0736,0.0
PER3,0.9999,1.1659,0.9952,0.8949,0.9222,0.762,0.56,0.3642,0.3529,0.3443,0.0
PES1,0.9999,0.9898,0.6635,0.222,0.1087,0.0855,0.0704,0.0567,0.053,0.0222,0.0
PET112,0.9999,0.9577,0.8656,0.3762,0.0964,0.0643,0.0536,0.076,0.0332,0.0213,0.0
PEX19,0.9999,1.1349,0.957,1.0849,1.2824,0.8015,0.7165,0.5211,0.2163,0.2092,0.0
PEX7,0.9999,1.1248,0.7777,0.5266,1.1103,0.3353,0.5163,0.4392,0.2051,0.0667,0.0
PFAS,0.9999,0.9436,0.9354,0.8123,0.3963,0.1486,0.0976,0.084,0.0536,0.0271,0.0
PFDN1,0.9999,1.1295,1.0698,1.1124,1.0663,0.8408,0.6764,0.5117,0.1996,0.1282,0.0
PFDN2,0.9999,1.0073,0.9609,0.959,0.8571,0.6353,0.5976,0.4373,0.194,0.1777,0.0
PFDN4,0.9999,1.1494,1.0644,0.9529,0.8172,0.8821,0.5578,0.4673,0.5006,0.1391,0.0
PFDN5,0.9999,0.9547,0.9159,0.9963,1.0263,0.7512,0.7667,0.5938,0.2791,0.0421,0.0
PFDN6,0.9999,1.0919,1.0244,1.0474,0.8712,0.7522,0.7189,0.5943,0.4693,0.3535,0.0
PFKFB2,0.9999,1.11,0.8783,0.8058,0.712,0.4066,0.1389,0.0416,0.0194,0.0252,0.0
PFKFB4,0.9999,0.9637,0.895,0.9126,0.6532,0.2263,0.0507,0.0605,0.0512,0.0371,0.0
PFKL,0.9999,0.9456,0.9266,0.957,0.9503,0.8086,0.7456,0.5709,0.3659,0.1115,0.0
PFKM,0.9999,0.9448,0.9336,1.0317,1.0082,0.8271,0.8997,0.7835,0.4564,0.3211,0.0
PFKP,0.9999,1.0194,0.9819,0.9925,0.9803,0.9056,0.8348,0.6937,0.5282,0.2797,0.0
PFN1,0.9999,0.9815,0.9903,0.9305,0.8301,0.5831,0.1573,0.0857,0.0549,0.037,0.0
PGAM1,0.9999,0.9983,0.9564,0.9563,0.8422,0.7869,0.5962,0.49,0.4649,0.1048,0.0
PGD,0.9999,1.0015,1.0115,1.0827,0.9856,0.7892,0.1408,0.0671,0.037,0.0157,0.0
PGGT1B,0.9999,0.9206,0.9354,0.9849,0.8894,0.5926,0.2239,0.1129,0.0833,0.0294,0.0
PGK1,0.9999,1.0401,1.0603,1.1075,1.0041,0.8718,0.2171,0.0438,0.0243,0.0131,0.0
PGK2,0.9999,0.9141,0.9329,1.0069,1.0377,0.8812,0.2473,0.0453,0.0489,0.0293,0.0
PGLS,0.9999,0.9821,0.941,0.9628,0.8812,0.7221,0.4406,0.3561,0.2068,0.0417,0.0
PGM2,0.9999,0.9644,0.9428,1.0105,0.9451,0.824,0.7002,0.618,0.3988,0.2424,0.0
PGM2L1,0.9999,1.2932,1.0034,1.1282,0.9051,0.5982,0.2732,0.0684,0.0188,0.0114,0.0
PGM3,0.9999,0.9548,0.9662,0.99,0.6212,0.1627,0.0416,0.0356,0.0191,0.0109,0.0
PGP,0.9999,1.008,1.0088,1.0702,1.0372,0.8381,0.8494,0.832,0.3384,0.0852,0.0
PHACTR4,0.9999,1.0151,0.9562,0.8896,0.8294,0.7727,0.5304,0.4549,0.4195,0.274,0.0
PHAX,0.9999,0.9686,0.8822,0.7347,0.6038,0.4127,0.2526,0.1613,0.1321,0.0871,0.0
PHF10,0.9999,0.9057,0.8157,0.6608,0.5159,0.2741,0.1342,0.0976,0.0702,0.1001,0.0
PHF23,0.9999,0.9341,0.7685,0.5887,0.5216,0.3559,0.2825,0.1947,0.1203,0.1081,0.0
PHF5A,0.9999,1.0481,1.0,1.0714,1.3542,1.4781,1.1521,0.6686,0.312,0.1918,0.0
PHF6,0.9999,0.9638,0.9452,0.855,0.3809,0.0963,0.0326,0.022,0.0205,0.0098,0.0
PHGDH,0.9999,1.0523,1.0465,0.9811,0.904,0.8422,0.6247,0.4197,0.07,0.0248,0.0
PHKA2,0.9999,0.8781,0.842,0.7837,0.4576,0.1319,0.0524,0.0324,0.0174,0.0119,0.0
PHKB,0.9999,1.0322,0.7257,0.5307,0.3229,0.1173,0.0939,0.0551,0.0272,0.0151,0.0
PHKG2,0.9999,0.9044,0.8561,0.7575,0.3696,0.0928,0.0315,0.0331,0.0246,0.0131,0.0
PHLDB1,0.9999,0.9128,0.8466,0.5187,0.3652,0.1612,0.0705,0.07,0.0405,0.0239,0.0
PHPT1,0.9999,1.007,1.0588,1.0619,0.9147,0.7168,0.3678,0.1537,0.0935,0.0903,0.0
PHYKPL,0.9999,0.9873,0.9624,0.9483,0.8814,0.7333,0.6035,0.4838,0.1483,0.0504,0.0
PI4KA,0.9999,0.7877,0.6295,0.5333,0.4988,0.2738,0.2105,0.2237,0.2048,0.0483,0.0
PI4KB,0.9999,1.0169,0.9929,0.8661,0.6196,0.2801,0.0591,0.0404,0.0407,0.0279,0.0
PICALM,0.9999,0.9347,0.9087,0.852,1.0027,0.8524,0.0957,0.0292,0.0258,0.0164,0.0
PICK1,0.9999,0.9402,0.9304,0.7053,0.2229,0.0973,0.0857,0.0632,0.0643,0.0185,0.0
PIH1D1,0.9999,0.983,0.8708,0.7032,0.3789,0.2021,0.1126,0.0807,0.0671,0.055,0.0
PIK3C3,0.9999,0.8988,0.7633,0.5781,0.4796,0.2471,0.0706,0.0577,0.0456,0.0222,0.0
PIK3CB,0.9999,1.0245,1.0036,0.8606,0.3881,0.1202,0.0521,0.0511,0.0302,0.016,0.0
PIK3CD,0.9999,0.959,0.9327,0.789,0.3993,0.1005,0.0519,0.0401,0.0286,0.0167,0.0
PIK3CG,0.9999,0.85,0.6023,0.2953,0.1208,0.1072,0.0625,0.0379,0.0244,0.0172,0.0
PIK3R1,0.9999,0.9802,0.9188,0.8205,0.5193,0.1427,0.0779,0.0413,0.0218,0.0114,0.0
PIK3R2,0.9999,0.9489,0.8547,0.5799,0.1474,0.0796,0.0502,0.0517,0.0333,0.0311,0.0
PIK3R4,0.9999,0.9781,0.8679,0.717,0.6561,0.3299,0.0895,0.0597,0.0499,0.0221,0.0
PIKFYVE,0.9999,0.8643,0.9007,0.625,0.4199,0.1979,0.1202,0.0952,0.0907,0.0557,0.0
PIM2,0.9999,0.8854,0.5043,0.1253,0.0,0.0,0.0098,0.0304,0.0043,0.0024,0.0
PIN1,0.9999,1.1596,0.928,0.8887,0.4691,0.1054,0.062,0.0712,0.0572,0.0495,0.0
PIN4,0.9999,0.97,0.993,0.9892,0.8155,0.5708,0.3011,0.1878,0.1208,0.0799,0.0
PIP4K2A,0.9999,0.9477,0.92,0.917,0.609,0.337,0.1262,0.0755,0.0484,0.0248,0.0
PIP4K2B,0.9999,1.044,0.9438,0.9314,0.6253,0.331,0.1282,0.0863,0.0573,0.0293,0.0
PIP4K2C,0.9999,0.9783,0.9212,0.8003,0.278,0.0874,0.051,0.0442,0.023,0.0079,0.0
PIP5K1C,0.9999,1.028,0.9857,0.8982,0.2992,0.0806,0.0392,0.0344,0.0192,0.0146,0.0
PITHD1,0.9999,1.0734,0.8937,0.968,0.8473,0.7562,0.8408,0.8085,0.6502,0.4192,0.0
PITPNA,0.9999,1.0248,1.0002,1.1391,1.0242,0.7954,0.4483,0.0759,0.0639,0.0347,0.0
PITPNB,0.9999,1.0259,0.9614,1.0248,0.7969,0.4047,0.0579,0.0415,0.0557,0.0026,0.0
PITRM1,0.9999,1.0546,1.0711,1.0017,0.9047,0.6578,0.3632,0.2267,0.0755,0.0452,0.0
PKLR,0.9999,0.9741,0.9671,0.9592,0.8726,0.7189,0.5408,0.4051,0.078,0.0202,0.0
PKM,0.9999,0.9551,0.978,0.9711,0.8953,0.7297,0.6083,0.4871,0.0866,0.0307,0.0
PKN1,0.9999,1.0173,0.9929,0.7895,0.2657,0.0532,0.0275,0.0222,0.0202,0.0088,0.0
PKN2,0.9999,0.9614,0.9476,0.4527,0.1356,0.1064,0.0845,0.074,0.0629,0.0109,0.0
PKP3,0.9999,0.9296,0.6359,0.228,0.141,0.0776,0.0609,0.043,0.036,0.0115,0.0
PLA2G15,0.9999,0.9477,0.9226,0.9264,0.8067,0.6769,0.6553,0.6437,0.4039,0.4692,0.0
PLAA,0.9999,0.921,0.8147,0.5665,0.1727,0.0631,0.0419,0.0326,0.0215,0.0097,0.0
PLBD1,0.9999,0.9362,1.1262,1.0542,0.9763,0.6851,0.8613,0.6334,0.2948,0.2797,0.0
PLBD2,0.9999,1.0536,1.0264,1.0587,0.8843,0.7734,0.6036,0.427,0.2079,0.0836,0.0
PLCB2,0.9999,0.9231,0.7775,0.4367,0.1476,0.0962,0.0888,0.0731,0.0412,0.0228,0.0
PLCB3,0.9999,0.9329,0.9468,0.7381,0.5634,0.1464,0.0544,0.0582,0.0507,0.0179,0.0
PLCD1,0.9999,0.9768,0.9449,0.7927,0.3472,0.0584,0.0367,0.0377,0.0307,0.0211,0.0
PLCG1,0.9999,0.9347,0.9146,0.6359,0.1585,0.0959,0.068,0.0536,0.0347,0.0269,0.0
PLCG2,0.9999,0.9466,0.7324,0.235,0.1563,0.1028,0.0782,0.0412,0.0288,0.0166,0.0
PLCL1,0.9999,1.0319,0.9223,0.3823,0.09,0.0426,0.0319,0.0343,0.0187,0.0123,0.0
PLEC,0.9999,0.8609,0.6815,0.5318,0.2058,0.0997,0.0608,0.0557,0.0358,0.0242,0.0
PLEKHA2,0.9999,0.7672,0.3847,0.0818,0.0604,0.0339,0.0168,0.0094,0.0162,0.0098,0.0
PLEKHF1,0.9999,0.9639,0.9005,0.5058,0.2163,0.1644,0.1292,0.1076,0.0947,0.0704,0.0
PLEKHF2,0.9999,0.8829,0.8633,0.5178,0.2141,0.1731,0.0788,0.0595,0.0489,0.0143,0.0
PLEKHM2,0.9999,0.9217,0.8661,0.9041,0.7031,0.2601,0.0731,0.0641,0.0447,0.0307,0.0
PLEKHO2,0.9999,1.0352,0.9166,0.6783,0.5055,0.2672,0.1143,0.0442,0.0345,0.0206,0.0
PLG,0.9999,0.9957,1.0312,0.9164,0.7722,0.5346,0.3856,0.2879,0.3058,0.2238,0.0
PLIN2,0.9999,0.9465,0.9355,0.7496,0.5601,0.359,0.1944,0.1253,0.0619,0.0326,0.0
PLIN3,0.9999,1.0438,1.0873,1.0596,0.974,0.7518,0.4961,0.3495,0.2263,0.1752,0.0
PLK1,0.9999,0.9073,0.8045,0.6186,0.4823,0.2444,0.0375,0.0424,0.0344,0.0194,0.0
PLOD1,0.9999,0.9147,0.7201,0.4591,0.2291,0.079,0.0726,0.0512,0.0302,0.0275,0.0
PLOD3,0.9999,0.9237,0.8169,0.7877,0.8573,0.5416,0.2477,0.1275,0.0725,0.0638,0.0
PLRG1,0.9999,0.8619,0.8454,1.149,1.0728,0.5361,0.4639,0.3115,0.1791,0.1473,0.0
PLS1,0.9999,1.0586,1.0786,1.0538,0.6593,0.1525,0.068,0.0503,0.0363,0.0217,0.0
PLSCR1,0.9999,0.8689,1.1051,0.7982,0.6431,0.3564,0.2307,0.1561,0.127,0.0283,0.0
PLXNB2,0.9999,0.9626,1.0559,0.7276,0.7359,0.4777,1.0719,1.8169,1.7071,1.4966,0.0
PML,0.9999,0.9174,0.8362,0.6706,0.3982,0.208,0.1459,0.0991,0.0786,0.0628,0.0
PMM1,0.9999,0.8493,0.8306,0.9722,0.7955,0.2709,0.0283,0.0239,0.014,0.0163,0.0
PMM2,0.9999,0.908,0.964,1.0552,0.9297,0.6737,0.5083,0.2174,0.0409,0.0093,0.0
PMPCA,0.9999,1.1159,1.2426,1.2926,1.1491,0.3975,0.096,0.0742,0.0516,0.0245,0.0
PMPCB,0.9999,1.0915,1.1438,0.9678,0.798,0.371,0.1356,0.0985,0.0746,0.0394,0.0
PMS1,0.9999,1.0754,0.1591,0.0259,0.0001,0.1985,0.0,0.0266,0.01,0.0001,0.0
PMS2,0.9999,0.8267,0.4708,0.1537,0.0663,0.0461,0.0502,0.0453,0.0385,0.018,0.0
PMVK,0.9999,1.0592,0.7759,0.3161,0.1532,0.0962,0.0868,0.0708,0.0521,0.0493,0.0
PNISR,0.9999,0.8856,0.8242,0.686,0.652,0.48,0.3449,0.3951,0.3986,0.3863,0.0
PNKP,0.9999,0.9486,0.971,0.8156,0.1184,0.0529,0.0488,0.053,0.0365,0.0214,0.0
PNMT,0.9999,1.8216,0.8371,0.7386,0.7949,0.4471,0.2464,0.0974,0.0571,0.019,0.0
PNP,0.9999,1.031,0.9646,1.0328,0.9361,0.8304,0.7396,0.715,0.5704,0.4767,0.0
PNPLA2,0.9999,0.9587,0.834,0.6101,0.4234,0.2868,0.1411,0.0766,0.0475,0.0471,0.0
PNPO,0.9999,1.0056,1.0649,1.143,1.0166,0.8466,0.3516,0.0723,0.0329,0.0217,0.0
PNPT1,0.9999,1.0551,1.0339,0.8257,0.3635,0.1341,0.0493,0.0342,0.0194,0.0112,0.0
POFUT1,0.9999,0.7573,0.9366,0.9046,0.7007,0.5927,0.4007,0.1922,0.0355,0.0192,0.0
POLA1,0.9999,0.9211,0.7987,0.5575,0.2041,0.0775,0.0661,0.0714,0.0458,0.029,0.0
POLA2,0.9999,0.8135,0.645,0.4756,0.2411,0.0612,0.0417,0.0535,0.0784,0.0176,0.0
POLB,0.9999,1.052,0.9191,0.3186,0.0206,0.026,0.0024,0.0,0.0044,0.0043,0.0
POLD1,0.9999,0.9481,0.7969,0.5411,0.2751,0.1749,0.1255,0.0787,0.0382,0.0162,0.0
POLD2,0.9999,0.9591,0.917,0.723,0.278,0.1622,0.1037,0.0633,0.0251,0.0117,0.0
POLD3,0.9999,0.9125,0.7838,0.473,0.1024,0.0431,0.0314,0.0233,0.0119,0.0065,0.0
POLDIP2,0.9999,0.9095,0.8668,0.7503,0.6472,0.3174,0.1506,0.1986,0.078,0.0186,0.0
POLE,0.9999,0.8234,0.6386,0.1572,0.1137,0.0706,0.0484,0.0391,0.0296,0.0206,0.0
POLE2,0.9999,0.8984,0.8198,0.471,0.2792,0.1765,0.1481,0.0823,0.0448,0.0356,0.0
POLE3,0.9999,1.1989,1.0932,0.6907,0.451,0.3023,0.1183,0.1578,0.115,0.0285,0.0
POLE4,0.9999,0.9601,0.8613,0.7313,0.4093,0.2367,0.0923,0.1037,0.0674,0.0233,0.0
POLG,0.9999,0.9841,0.9456,0.8466,0.5277,0.1702,0.1728,0.1517,0.0702,0.0821,0.0
POLG2,0.9999,1.0402,1.2527,1.2993,0.9592,0.5461,0.6321,0.3698,0.1976,0.0953,0.0
POLR1B,0.9999,1.0563,0.8653,0.7114,0.7337,0.6078,0.6336,0.5113,0.3381,0.0796,0.0
POLR1C,0.9999,0.9191,0.853,0.4763,0.1327,0.0935,0.0681,0.0532,0.0384,0.0232,0.0
POLR1D,0.9999,1.0223,0.8305,0.5115,0.1878,0.0911,0.0857,0.0578,0.0298,0.0451,0.0
POLR2A,0.9999,0.9546,0.8578,0.9351,0.7136,0.3061,0.2029,0.1805,0.1031,0.0587,0.0
POLR2B,0.9999,0.8941,0.7309,0.575,0.3303,0.1376,0.0944,0.084,0.0524,0.0153,0.0
POLR2C,0.9999,0.8884,0.7011,0.5554,0.3826,0.1966,0.15,0.1182,0.0811,0.0306,0.0
POLR2G,0.9999,0.9616,0.9412,1.1193,1.3058,1.19,1.2938,1.174,0.4871,0.0557,0.0
POLR2H,0.9999,0.9405,0.8705,0.7841,0.4299,0.1977,0.1028,0.0654,0.0414,0.0168,0.0
POLR2I,0.9999,0.9455,0.9192,0.9179,0.9794,0.8332,0.7921,0.6417,0.4625,0.4556,0.0
POLR2K,0.9999,0.8908,0.8906,0.7909,0.6309,0.5779,0.5579,0.372,0.2487,0.1916,0.0
POLR3A,0.9999,0.886,0.8064,0.4568,0.243,0.1946,0.0938,0.0688,0.0541,0.0263,0.0
POLR3B,0.9999,0.9608,0.8259,0.4331,0.0892,0.0534,0.0371,0.0223,0.0157,0.0085,0.0
POLR3C,0.9999,0.9261,0.8851,0.7905,0.8306,0.5201,0.2841,0.12,0.0479,0.0242,0.0
POLR3E,0.9999,0.9045,0.7319,0.386,0.1185,0.0687,0.0441,0.041,0.0363,0.0226,0.0
POLR3G,0.9999,0.8261,0.8285,0.7246,0.7865,0.8196,0.3211,0.2641,0.1648,0.0649,0.0
POLR3GL,0.9999,1.0034,0.8205,0.6647,0.3417,0.1474,0.1089,0.0966,0.0641,0.0151,0.0
POLRMT,0.9999,1.0124,0.9705,0.3384,0.2167,0.164,0.095,0.0866,0.054,0.0293,0.0
POMP,0.9999,0.99,0.8189,0.8869,1.167,0.4471,0.2446,0.1343,0.0483,0.0326,0.0
POP1,0.9999,0.8993,0.8762,0.7459,0.8355,0.6125,0.5264,0.2531,0.069,0.0277,0.0
POTEF,0.9999,0.9991,0.884,0.8396,0.9065,0.808,0.3887,0.1807,0.1673,0.1093,0.0
POU2F2|POU2F3|POU2F1,0.9999,0.9352,0.9961,0.7664,0.3516,0.1361,0.0689,0.0545,0.0651,0.025,0.0
PPA1,0.9999,1.0819,1.0743,1.1058,1.0481,0.8913,0.5843,0.3454,0.1378,0.0184,0.0
PPA2,0.9999,1.0703,1.1676,1.4319,1.7726,1.3083,1.4068,0.7086,0.2152,0.1223,0.0
PPAT,0.9999,0.9547,0.9581,1.005,0.961,0.7948,0.8464,0.7391,0.5053,0.3405,0.0
PPCDC,0.9999,1.05,0.9056,1.0605,0.9976,0.7434,0.7099,0.6355,0.4513,0.3983,0.0
PPCS,0.9999,0.9428,0.9634,1.0466,0.9595,0.5682,0.1914,0.0739,0.0402,0.0192,0.0
PPFIA1,0.9999,0.9159,0.8434,0.4915,0.1979,0.0997,0.0736,0.0639,0.0391,0.0201,0.0
PPFIBP2,0.9999,1.1115,1.0236,0.8289,0.5295,0.1041,0.0743,0.0921,0.0619,0.0264,0.0
PPIA,0.9999,0.9557,1.0063,0.9564,0.6424,0.2149,0.0528,0.036,0.0301,0.0184,0.0
PPIB,0.9999,0.8943,0.7955,0.8358,0.8125,0.1775,0.145,0.1328,0.049,0.0763,0.0
PPID,0.9999,0.9121,0.8248,0.4306,0.114,0.0587,0.0402,0.0321,0.0215,0.0145,0.0
PPIE,0.9999,1.078,0.9128,0.7601,0.5194,0.4158,0.3126,0.1464,0.0682,0.0226,0.0
PPIF,0.9999,1.0902,1.2308,1.2965,1.1856,0.4992,0.1027,0.0582,0.0268,0.0242,0.0
PPIH,0.9999,1.0429,1.0342,1.0802,0.7687,0.2568,0.0513,0.0433,0.0366,0.0178,0.0
