Accession,T37.0,T41.0,T44.0,T47.0,T50.0,T53.0,T56.0,T59.0,T63.0,T67.0,RSD
MAGOH|MAGOHB,0.9999,1.0018,0.9829,0.8972,0.4577,0.133,0.0468,0.0333,0.027,0.0205,0.0
MAP2K3,0.9999,1.0002,1.0058,0.8487,0.2405,0.0673,0.055,0.035,0.0323,0.0157,0.0
MAPK7,0.9999,1.0698,1.062,0.7408,0.322,0.1804,0.0955,0.0804,0.0714,0.0562,0.0
MAPKAPK3,0.9999,1.0065,0.9835,0.8969,0.4065,0.161,0.0654,0.0385,0.0244,0.014,0.0
MCEE,0.9999,1.0832,1.3966,1.455,1.8369,1.3246,1.0314,0.8223,0.592,0.3602,0.0
MDC1,0.9999,1.0126,0.8962,0.9351,0.9173,0.7888,0.4487,0.2729,0.1599,0.1719,0.0
MED1,0.9999,0.9017,0.762,0.5797,0.9228,0.3751,0.1452,0.0942,0.0655,0.0726,0.0
MED30,0.9999,0.8601,0.864,0.798,0.5823,0.5182,0.3261,0.1933,0.1388,0.0676,0.0
MELK,0.9999,0.8148,0.7461,0.4644,0.1126,0.075,0.0341,0.0246,0.0071,0.0055,0.0
METAP1,0.9999,0.9173,0.7818,0.5333,0.3408,0.1885,0.1151,0.0716,0.0416,0.0327,0.0
METTL7A,0.9999,0.8822,0.9735,0.6467,0.6691,0.411,0.4828,0.3655,0.209,0.0891,0.0
MICB,0.9999,1.0204,1.0279,0.9168,0.8938,0.8076,0.6799,0.4408,0.2085,0.0739,0.0
MIER1,0.9999,0.9774,0.9532,1.0159,0.8969,0.6376,0.3368,0.1098,0.0498,0.0279,0.0
MINA,0.9999,0.8324,0.8448,0.7982,0.5404,0.2654,0.2219,0.1527,0.0363,0.0189,0.0
MKL2,0.9999,0.8541,0.7662,0.7113,0.7087,0.4534,0.1363,0.0733,0.039,0.0322,0.0
MLF2,0.9999,0.5806,0.2851,0.1275,0.1352,0.0595,0.049,0.0322,0.0326,0.021,0.0
MMS22L,0.9999,0.7371,0.292,0.2388,0.2371,0.1467,0.0895,0.0819,0.0427,0.0244,0.0
MPG,0.9999,1.0394,1.0132,0.9181,0.6777,0.3707,0.1196,0.0424,0.0177,0.0024,0.0
MROH1,0.9999,0.9897,0.8693,0.4971,0.3468,0.1247,0.047,0.1423,0.0494,0.0071,0.0
MRPL28,0.9999,0.7058,0.544,0.4688,0.675,0.1936,0.051,0.0545,0.0227,0.0185,0.0
MRPL40,0.9999,0.9915,1.3989,1.6416,1.4596,0.5831,0.3436,0.3052,0.1772,0.1771,0.0
MRPL46,0.9999,1.1524,1.7611,2.0199,1.1091,0.2041,0.0759,0.0328,0.0407,0.025,0.0
MRPL47,0.9999,0.6958,0.5914,0.4801,0.5975,0.1116,0.12,0.106,0.0382,0.0438,0.0
MRPL53,0.9999,1.0519,1.1014,0.8683,1.1095,0.898,0.572,0.3816,0.2281,0.1759,0.0
MRPS10,0.9999,0.9068,0.9407,0.6507,0.736,0.1479,0.1002,0.0788,0.045,0.0226,0.0
MRPS2,0.9999,0.9877,1.0956,0.9508,0.6166,0.1476,0.105,0.0911,0.0747,0.0538,0.0
MRPS28,0.9999,1.5384,1.1814,1.4366,1.3773,0.455,0.152,0.1306,0.0651,0.0433,0.0
MRPS6,0.9999,1.0066,0.9136,0.6755,0.6702,0.4091,0.6625,0.4697,0.3073,0.0913,0.0
MRPS7,0.9999,1.0477,1.0266,0.8567,0.5558,0.1179,0.0559,0.0442,0.0262,0.0183,0.0
MSANTD2,0.9999,0.9084,0.9094,0.7314,0.5556,0.4321,0.241,0.1421,0.0991,0.0939,0.0
MT1E,0.9999,1.0477,1.0155,1.0374,0.9847,0.7561,0.6006,0.5548,0.4725,0.3635,0.0
MTFR1L,0.9999,0.9121,0.6386,0.2343,0.1448,0.0887,0.0446,0.052,0.0439,0.0433,0.0
MTHFSD,0.9999,0.9367,1.0129,0.8642,0.6923,0.4507,0.3754,0.2377,0.1056,0.0665,0.0
MTURN,0.9999,0.9235,0.9447,1.0371,0.9027,0.6919,0.4438,0.3354,0.2105,0.1109,0.0
MYNN,0.9999,0.9132,0.8697,0.8168,0.761,0.5325,0.5294,0.4357,0.3484,0.2304,0.0
NA|MDP1,0.9999,1.0907,0.9733,1.0058,1.0001,0.7533,0.6402,0.5545,0.3458,0.1104,0.0
NA|RAPGEF6,0.9999,0.7248,0.397,0.1594,0.1144,0.0724,0.048,0.0397,0.0265,0.0159,0.0
NAF1,0.9999,0.8654,0.8297,0.6241,0.4291,0.2477,0.1527,0.0849,0.0464,0.0284,0.0
NANP,0.9999,0.9178,0.994,0.9269,0.6933,0.2478,0.1057,0.0769,0.0454,0.0062,0.0
NAT1,0.9999,0.8985,0.7773,0.3936,0.0645,0.0482,0.0142,0.0091,0.0075,0.0042,0.0
NCOR2,0.9999,0.9093,0.6896,0.4868,0.2814,0.2027,0.084,0.0585,0.0397,0.0397,0.0
NDUFB9,0.9999,1.0588,0.9215,0.4581,0.1906,0.0945,0.0673,0.0438,0.0352,0.0169,0.0
NDUFV3,0.9999,1.1454,1.0647,1.1665,3.248,3.8561,2.456,1.9582,1.2989,1.7726,0.0
NECAP1,0.9999,1.071,1.0733,0.8902,0.8466,0.5153,0.1261,0.0389,0.0274,0.009,0.0
NEK1,0.9999,0.7695,0.6548,0.4307,0.2173,0.1141,0.0977,0.0852,0.0649,0.0387,0.0
NEK8,0.9999,0.8372,0.7095,0.418,0.2185,0.1472,0.0891,0.0639,0.0451,0.0225,0.0
NFATC2IP,0.9999,0.9736,0.9225,0.5568,0.271,0.1053,0.0411,0.0295,0.0196,0.0085,0.0
NHLRC3,0.9999,1.1398,1.1157,1.1101,1.0039,0.9222,0.8395,0.658,0.6579,0.5829,0.0
NIPBL,0.9999,0.7451,0.5187,0.2192,0.1105,0.084,0.0881,0.078,0.0273,0.035,0.0
NLRP14,0.9999,0.3068,0.9721,0.7991,0.3247,0.7556,0.4537,0.3676,0.0542,0.0591,0.0
NMNAT1,0.9999,1.1252,1.1769,1.3698,1.1893,0.8383,0.7127,0.5967,0.6265,0.6197,0.0
NOP58,0.9999,0.8008,0.5649,0.3549,0.2134,0.1196,0.0727,0.0451,0.0391,0.022,0.0
NOTCH1,0.9999,0.9533,0.9245,0.7874,0.8101,0.784,0.6802,0.8062,0.5142,0.5151,0.0
NPL,0.9999,0.9937,0.8712,0.8309,0.7791,0.5591,0.6687,0.6363,0.4369,0.4083,0.0
NPTN|DKFZp566H1924,0.9999,1.0885,1.0887,1.0641,1.1868,0.4188,0.2964,0.1134,0.0422,0.0759,0.0
NRBF2,0.9999,1.0427,0.9906,0.7168,0.5084,0.3315,0.1149,0.0806,0.0471,0.0169,0.0
NRF1,0.9999,0.9061,0.6887,0.6546,0.4726,0.2361,0.1081,0.0956,0.0879,0.0447,0.0
NUDT10|NUDT11|NUDT4,0.9999,0.9895,0.9446,0.741,0.3186,0.0858,0.017,0.0145,0.011,0.0054,0.0
OR7D2|OS9,0.9999,0.9333,1.1437,0.7744,0.7009,0.6397,0.937,0.7617,0.578,0.513,0.0
ORC6,0.9999,0.9411,0.558,0.1379,0.1589,0.1654,0.1092,0.0698,0.0702,0.0304,0.0
OSGEPL1,0.9999,1.1614,1.3117,1.2672,0.9977,0.3404,0.0921,0.0484,0.0254,0.0084,0.0
PACS2,0.9999,1.0938,1.0868,0.72,0.746,0.389,0.2031,0.1477,0.04,0.01,0.0
PALM,0.9999,1.1472,1.0286,0.7724,0.6902,0.5811,0.4562,0.2965,0.1803,0.0329,0.0
PARD3,0.9999,0.7285,0.4434,0.0717,0.035,0.0262,0.0539,0.0333,0.0316,0.0253,0.0
PARP14,0.9999,0.4479,0.033,0.0,0.0,0.0917,0.0033,0.0175,0.0217,0.0103,0.0
PBLD,0.9999,0.8231,1.0478,1.1103,0.7878,0.7717,0.72,0.3975,0.0852,0.0176,0.0
PCSK9,0.9999,1.0511,0.9148,0.929,0.7543,0.5529,0.4536,0.3075,0.2149,0.1903,0.0
PCYOX1,0.9999,0.8079,0.8021,0.7561,0.6865,0.3914,0.5817,0.5297,0.336,0.3209,0.0
PDGFRL,0.9999,0.8342,0.7714,0.8494,0.5985,0.2516,0.0734,0.0555,0.107,0.0464,0.0
PDRG1,0.9999,1.1336,0.9511,0.8325,0.691,0.5365,0.4212,0.2075,0.1053,0.0508,0.0
PDSS1,0.9999,0.9101,0.9983,1.0749,1.2738,0.8198,0.4707,0.1717,0.0841,0.0202,0.0
PGAM5,0.9999,1.473,1.0484,0.8827,0.989,1.1817,2.08,1.7002,1.081,0.1406,0.0
PGPEP1,0.9999,0.8449,0.8077,0.5997,0.2314,0.1531,0.0896,0.044,0.0389,0.0219,0.0
PHACTR2,0.9999,2.5292,0.7845,0.6119,0.4903,0.5066,0.593,0.4406,0.3049,0.1787,0.0
PHC2,0.9999,1.1248,0.9289,0.6657,0.3681,0.1642,0.0642,0.0376,0.0176,0.0698,0.0
PHKA1,0.9999,1.0184,0.8948,0.7394,0.4391,0.1493,0.0799,0.0949,0.0687,0.0123,0.0
PHLPP1,0.9999,0.9198,0.789,0.6312,0.4401,0.265,0.1506,0.1075,0.0744,0.0724,0.0
PLD3,0.9999,0.9751,0.9496,0.9097,0.7851,0.6493,0.493,0.3611,0.1262,0.019,0.0
PLEK,0.9999,0.9932,1.0344,0.9391,0.4984,0.1819,0.0795,0.0577,0.0441,0.0313,0.0
POLDIP3,0.9999,0.9737,0.7726,0.5205,0.4915,0.3089,0.2241,0.2422,0.1969,0.0651,0.0
POLR2L,0.9999,0.9601,0.7779,0.5326,0.3191,0.1509,0.1012,0.0772,0.0247,0.0223,0.0
POLR3D,0.9999,0.9079,0.7878,0.4272,0.1559,0.0703,0.0469,0.0531,0.0144,0.0083,0.0
POLR3K,0.9999,1.2156,0.7631,1.0579,0.6373,0.5279,0.8398,0.7474,0.1102,0.1098,0.0
POP7,0.9999,0.8328,0.9017,0.7549,0.5242,0.4642,0.4593,0.2997,0.0962,0.0287,0.0
