Accession,T37.0,T41.0,T44.0,T47.0,T50.0,T53.0,T56.0,T59.0,T63.0,T67.0,RSD
RCSD1,0.9999,0.9137,1.0856,0.8805,0.6367,1.1332,0.7142,0.517,0.4676,0.5432,0.0
RDH13,0.9999,1.1346,0.9927,0.9185,1.0441,0.5629,0.4064,0.2806,0.3777,0.1887,0.0
RDX,0.9999,0.9742,0.983,1.0149,1.002,0.8717,0.7481,0.2959,0.0274,0.0186,0.0
RECQL,0.9999,0.9559,0.9361,0.884,0.6672,0.3797,0.1024,0.0252,0.0272,0.0146,0.0
REEP6,0.9999,1.1372,0.9201,0.984,0.7253,0.5973,0.3777,0.2674,0.3376,0.2714,0.0
REL,0.9999,0.9267,0.8436,0.5948,0.1927,0.0583,0.0378,0.0221,0.0188,0.0121,0.0
RELA,0.9999,0.8073,0.8741,0.7499,0.4658,0.1477,0.0676,0.0466,0.0411,0.0148,0.0
RENBP,0.9999,0.9328,0.9861,0.9062,0.8068,0.6318,0.494,0.2787,0.1497,0.0382,0.0
REPIN1,0.9999,0.9668,0.9678,0.9419,0.7542,0.4847,0.3629,0.2062,0.0692,0.0154,0.0
REPS1,0.9999,0.8403,0.5991,0.5168,0.3963,0.259,0.1748,0.1516,0.075,0.0231,0.0
RERE,0.9999,0.9377,0.6986,0.2106,0.104,0.0735,0.0878,0.0566,0.0421,0.0301,0.0
REXO2,0.9999,0.9761,0.9185,0.9305,0.8764,0.841,0.7592,0.6202,0.8145,0.7778,0.0
RFC2,0.9999,0.9481,1.0152,0.8752,0.4358,0.1295,0.0736,0.079,0.0411,0.0103,0.0
RFC3,0.9999,0.9396,1.0693,0.9565,0.2466,0.046,0.0373,0.0253,0.0137,0.008,0.0
RFC4,0.9999,1.0837,1.169,0.9991,0.5078,0.1336,0.0487,0.0937,0.0179,0.0132,0.0
RFC5,0.9999,1.0019,1.0202,0.9665,0.5292,0.1433,0.0572,0.037,0.0329,0.0168,0.0
RFESD,0.9999,1.0338,1.0362,0.9999,0.928,0.7046,0.6333,0.5372,0.0233,0.023,0.0
RFK,0.9999,0.9459,0.9898,0.9834,0.9127,0.6694,0.2668,0.139,0.0687,0.0159,0.0
RFWD2,0.9999,1.0193,0.993,0.6636,0.7444,0.4883,0.2123,0.1214,0.0458,0.0246,0.0
RFX1,0.9999,0.8756,1.0593,0.9494,0.839,0.4949,0.2553,0.1624,0.2002,0.1151,0.0
RGL2,0.9999,0.8324,0.4321,0.0874,0.0836,0.0505,0.0843,0.1189,0.0265,0.0012,0.0
RGS10,0.9999,0.9432,1.1502,0.9451,0.5609,0.3224,0.1068,0.0462,0.0305,0.0265,0.0
RGS14,0.9999,0.9617,0.7929,0.4895,0.3719,0.1742,0.16,0.0737,0.0235,0.0286,0.0
RHEB,0.9999,0.8983,0.8334,0.7759,0.6885,0.4347,0.2053,0.0917,0.0176,0.011,0.0
RHOA,0.9999,1.2197,1.3538,1.0957,0.6854,0.4261,0.1772,0.1247,0.1125,0.04,0.0
RHOC,0.9999,0.9035,0.9871,0.856,0.6636,0.4659,0.1171,0.0703,0.0375,0.0287,0.0
RHOG,0.9999,1.0072,0.988,0.8131,0.5386,0.2136,0.0958,0.0344,0.0193,0.002,0.0
RIC8A,0.9999,1.0117,0.8168,0.4311,0.1967,0.1106,0.0613,0.0453,0.0186,0.0048,0.0
RILPL1,0.9999,0.8806,0.7274,0.3002,0.1363,0.0852,0.0362,0.0351,0.0284,0.0057,0.0
RILPL2,0.9999,1.0652,0.9368,0.5112,0.0797,0.067,0.0605,0.0277,0.0189,0.0134,0.0
RING1,0.9999,0.7527,0.9666,0.5879,0.583,0.5182,0.3595,0.1905,0.3028,0.1823,0.0
RINT1,0.9999,0.7758,0.8016,0.535,0.29,0.1741,0.1487,0.3061,0.1793,0.0357,0.0
RIOK1,0.9999,0.9262,1.1727,1.4547,1.3621,1.5269,1.5184,1.4081,0.691,0.1337,0.0
RIPK1,0.9999,0.9672,0.769,0.3653,0.0963,0.057,0.0278,0.0185,0.0351,0.007,0.0
RIPK2,0.9999,0.9162,0.8718,0.7431,0.5696,0.3417,0.2832,0.2171,0.1305,0.0415,0.0
RMI1,0.9999,0.8425,0.5675,0.2904,0.3393,0.3661,0.3296,0.264,0.1758,0.1086,0.0
RMND5A,0.9999,1.2725,1.1731,1.1611,1.2537,0.3612,0.1173,0.1301,0.1031,0.1161,0.0
RNASEH1,0.9999,0.7733,0.2506,0.0651,0.054,0.0177,0.0253,0.0144,0.009,0.0058,0.0
RNASEH2B,0.9999,0.8189,0.8638,0.6048,0.1281,0.0581,0.0651,0.0368,0.0277,0.0197,0.0
RNASEH2C,0.9999,0.8799,0.8242,0.58,0.3458,0.1764,0.1291,0.1084,0.0781,0.0378,0.0
RNASEL,0.9999,0.653,0.2071,0.1192,0.083,0.0609,0.0297,0.0339,0.0237,0.0175,0.0
RNASET2,0.9999,0.9359,0.9151,0.953,0.8349,0.8268,0.4943,0.3323,0.161,0.0194,0.0
RNF113A,0.9999,1.0596,1.0618,0.9474,0.7207,0.7052,0.6558,0.399,0.4353,0.2953,0.0
